mp_id,formula,folder_name,folder_path,site_nn,total_sites,valid_sites,prim_n_atoms,prim_reason
mp_761710,LiFeCoO4_,mp_761710_LiFeCoO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761710_LiFeCoO4__feff_Fe_site_01,1,1,1,14,ok
mp_761716,MnFe2O3_,mp_761716_MnFe2O3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761716_MnFe2O3__feff_Fe_site_01,1,1,1,12,ok
mp_761763,Li2FeCo3O8_,mp_761763_Li2FeCo3O8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761763_Li2FeCo3O8__feff_Fe_site_01,1,1,1,28,ok
mp_761932,Fe3Co3TeO82_,mp_761932_Fe3Co3TeO82__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761932_Fe3Co3TeO82__feff_Fe_site_01,1,1,1,24,ok
mp_761944,Li2FeCo3O8_,mp_761944_Li2FeCo3O8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761944_Li2FeCo3O8__feff_Fe_site_01,1,1,1,56,ok
mp_761969,Li4Fe3Ni3SbO82_,mp_761969_Li4Fe3Ni3SbO82__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761969_Li4Fe3Ni3SbO82__feff_Fe_site_01,1,1,1,28,ok
mp_761992,Li2Fe2CO33_,mp_761992_Li2Fe2CO33__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761992_Li2Fe2CO33__feff_Fe_site_01,1,1,1,32,ok
mp_762142,Li2Fe3CoO8_,mp_762142_Li2Fe3CoO8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762142_Li2Fe3CoO8__feff_Fe_site_01,1,1,1,56,ok
mp_762415,Li4Mn3Nb3FeO82_,mp_762415_Li4Mn3Nb3FeO82__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762415_Li4Mn3Nb3FeO82__feff_Fe_site_01,1,1,1,28,ok
mp_762474,Li4Ti2Nb3Fe3O16_,mp_762474_Li4Ti2Nb3Fe3O16__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762474_Li4Ti2Nb3Fe3O16__feff_Fe_site_01,1,1,1,28,ok
mp_762511,LiFe2C2O7_,mp_762511_LiFe2C2O7__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762511_LiFe2C2O7__feff_Fe_site_01,1,1,1,24,ok
mp_762529,Li2FeO25_,mp_762529_Li2FeO25__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762529_Li2FeO25__feff_Fe_site_01,1,1,1,17,ok
mp_762538,Mn13Fe11O32_,mp_762538_Mn13Fe11O32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762538_Mn13Fe11O32__feff_Fe_site_01,1,1,1,56,ok
mp_762575,Li2FeO23_,mp_762575_Li2FeO23__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762575_Li2FeO23__feff_Fe_site_01,1,1,1,22,ok
mp_762595,Li2Fe3CoO8_,mp_762595_Li2Fe3CoO8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762595_Li2Fe3CoO8__feff_Fe_site_01,1,1,1,56,ok
mp_762600,Li6Fe7O15_,mp_762600_Li6Fe7O15__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762600_Li6Fe7O15__feff_Fe_site_01,1,1,1,28,ok
mp_762623,LiFeSiO4_,mp_762623_LiFeSiO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762623_LiFeSiO4__feff_Fe_site_01,1,1,1,21,ok
mp_762632,LiFeSiO4_,mp_762632_LiFeSiO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762632_LiFeSiO4__feff_Fe_site_01,1,1,1,14,ok
mp_762643,LiFeSiO4_,mp_762643_LiFeSiO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762643_LiFeSiO4__feff_Fe_site_01,1,1,1,14,ok
mp_762644,LiFeSiO4_,mp_762644_LiFeSiO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762644_LiFeSiO4__feff_Fe_site_01,1,1,1,21,ok
mp_762657,LiFePO33_,mp_762657_LiFePO33__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762657_LiFePO33__feff_Fe_site_01,1,1,1,28,ok
mp_762692,Li5Fe11O16_,mp_762692_Li5Fe11O16__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762692_Li5Fe11O16__feff_Fe_site_01,1,1,1,32,ok
mp_762694,Li3Ti2Fe3O10_,mp_762694_Li3Ti2Fe3O10__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762694_Li3Ti2Fe3O10__feff_Fe_site_01,1,1,1,18,ok
mp_762700,Li2Ti2Fe3O10_,mp_762700_Li2Ti2Fe3O10__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762700_Li2Ti2Fe3O10__feff_Fe_site_01,1,1,1,17,ok
mp_762702,Li3Ti2FeO42_,mp_762702_Li3Ti2FeO42__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762702_Li3Ti2FeO42__feff_Fe_site_01,1,1,1,15,ok
mp_762710,Li3VFe3O8_,mp_762710_Li3VFe3O8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762710_Li3VFe3O8__feff_Fe_site_01,1,1,1,15,ok
mp_762856,Li2FePO42_,mp_762856_Li2FePO42__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762856_Li2FePO42__feff_Fe_site_01,1,1,1,26,ok
mp_762863,Fe3OF5_,mp_762863_Fe3OF5__feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762863_Fe3OF5__feff_Fe_site_02,2,1,1,18,ok
mp_762996,FeOF_,mp_762996_FeOF__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_762996_FeOF__feff_Fe_site_01,1,1,1,24,ok
mp_763002,Fe4O3F5_,mp_763002_Fe4O3F5__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763002_Fe4O3F5__feff_Fe_site_01,1,1,1,24,ok
mp_763013,Fe2OF3_,mp_763013_Fe2OF3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763013_Fe2OF3__feff_Fe_site_01,1,1,1,24,ok
mp_763017,Fe2O3F_,mp_763017_Fe2O3F__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763017_Fe2O3F__feff_Fe_site_01,1,1,1,24,ok
mp_763020,Fe4OF7_,mp_763020_Fe4OF7__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763020_Fe4OF7__feff_Fe_site_01,1,1,1,24,ok
mp_763021,Fe4O5F3_,mp_763021_Fe4O5F3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763021_Fe4O5F3__feff_Fe_site_01,1,1,1,24,ok
mp_763022,FeOF_,mp_763022_FeOF__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763022_FeOF__feff_Fe_site_01,1,1,1,24,ok
mp_763023,Fe4O5F3_,mp_763023_Fe4O5F3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763023_Fe4O5F3__feff_Fe_site_01,1,1,1,24,ok
mp_763029,FeOF_,mp_763029_FeOF__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763029_FeOF__feff_Fe_site_01,1,1,1,18,ok
mp_763065,FeOF_,mp_763065_FeOF__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763065_FeOF__feff_Fe_site_01,1,1,1,18,ok
mp_763068,Fe4OF7_,mp_763068_Fe4OF7__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763068_Fe4OF7__feff_Fe_site_01,1,1,1,24,ok
mp_763223,Li4Mn3Fe2Ni3O16_,mp_763223_Li4Mn3Fe2Ni3O16__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763223_Li4Mn3Fe2Ni3O16__feff_Fe_site_01,1,1,1,28,ok
mp_763244,ZnFeH4O2F5_,mp_763244_ZnFeH4O2F5__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_763244_ZnFeH4O2F5__feff_Fe_site_01,1,1,1,26,ok
